country,year,step,unit,variable,group,value
ARG,2000,pon,pch,edu_sh,b50,.1907494217157364
ARG,2000,pon,pch,edu_sh,m40,.0435646288096905
ARG,2000,pon,pch,edu_sh,t1,.003281140467152
ARG,2000,pon,pch,edu_sh,t10,.0089764539152384
ARG,2000,pon,pch,edu_sh,tot,.0445291250944138
ARG,2000,pon,pch,hea_sh,b50,.2047040313482285
ARG,2000,pon,pch,hea_sh,m40,.0400613695383072
ARG,2000,pon,pch,hea_sh,t1,.0019638109952211
ARG,2000,pon,pch,hea_sh,t10,.0067521999590099
ARG,2000,pon,pch,hea_sh,tot,.0437390096485615
ARG,2000,pon,pch,mbe_sh,b50,.0312127228826284
ARG,2000,pon,pch,mbe_sh,m40,.0201687626540661
ARG,2000,pon,pch,mbe_sh,t1,.0072732586413622
ARG,2000,pon,pch,mbe_sh,t10,.0074458546005189
ARG,2000,pon,pch,mbe_sh,tot,.0153505532070994
ARG,2000,pon,pch,oex_sh,b50,.0786487311124802
ARG,2000,pon,pch,oex_sh,m40,.1267891675233841
ARG,2000,pon,pch,oex_sh,t1,.1376339793205261
ARG,2000,pon,pch,oex_sh,t10,.1361834555864334
ARG,2000,pon,pch,oex_sh,tot,.1255472004413605
ARG,2000,pon,pch,wmbe_sh,b50,.4946852922439575
ARG,2000,pon,pch,wmbe_sh,m40,.7694160342216492
ARG,2000,pon,pch,wmbe_sh,t1,.8498477935791016
ARG,2000,pon,pch,wmbe_sh,t10,.8406420350074768
ARG,2000,pon,pch,wmbe_sh,tot,.7708340883255005
ARG,2001,pon,pch,edu_sh,b50,.2066114395856857
ARG,2001,pon,pch,edu_sh,m40,.0452814847230911
ARG,2001,pon,pch,edu_sh,t1,.003932764288038
ARG,2001,pon,pch,edu_sh,t10,.0095163248479366
ARG,2001,pon,pch,edu_sh,tot,.04698321595788
ARG,2001,pon,pch,hea_sh,b50,.2144098579883575
ARG,2001,pon,pch,hea_sh,m40,.0402535125613213
ARG,2001,pon,pch,hea_sh,t1,.0023123305290937
ARG,2001,pon,pch,hea_sh,t10,.0069515779614449
ARG,2001,pon,pch,hea_sh,tot,.0446378663182259
ARG,2001,pon,pch,mbe_sh,b50,.0388963706791401
ARG,2001,pon,pch,mbe_sh,m40,.0250707380473614
ARG,2001,pon,pch,mbe_sh,t1,.0094227977097034
ARG,2001,pon,pch,mbe_sh,t10,.0067014507949352
ARG,2001,pon,pch,mbe_sh,tot,.0178701989352703
ARG,2001,pon,pch,oex_sh,b50,.0771212130784988
ARG,2001,pon,pch,oex_sh,m40,.1304339468479156
ARG,2001,pon,pch,oex_sh,t1,.1417434364557266
ARG,2001,pon,pch,oex_sh,t10,.140285313129425
ARG,2001,pon,pch,oex_sh,tot,.128927156329155
ARG,2001,pon,pch,wmbe_sh,b50,.4629618227481842
ARG,2001,pon,pch,wmbe_sh,m40,.7589600682258606
ARG,2001,pon,pch,wmbe_sh,t1,.8425887823104858
ARG,2001,pon,pch,wmbe_sh,t10,.8365454077720642
ARG,2001,pon,pch,wmbe_sh,tot,.7615815997123718
ARG,2002,pon,pch,edu_sh,b50,.1864664703607559
ARG,2002,pon,pch,edu_sh,m40,.0405875034630299
ARG,2002,pon,pch,edu_sh,t1,.0028993147425354
ARG,2002,pon,pch,edu_sh,t10,.0077624409459531
ARG,2002,pon,pch,edu_sh,tot,.0403256639838219
ARG,2002,pon,pch,hea_sh,b50,.2047393918037415
ARG,2002,pon,pch,hea_sh,m40,.0381060391664505
ARG,2002,pon,pch,hea_sh,t1,.0020146120805293
ARG,2002,pon,pch,hea_sh,t10,.0059788026846945
ARG,2002,pon,pch,hea_sh,tot,.0405058264732361
ARG,2002,pon,pch,mbe_sh,b50,.0542198307812214
ARG,2002,pon,pch,mbe_sh,m40,.0247100908309221
ARG,2002,pon,pch,mbe_sh,t1,.0017425649566576
ARG,2002,pon,pch,mbe_sh,t10,.0080819558352232
ARG,2002,pon,pch,mbe_sh,tot,.0196353495121002
ARG,2002,pon,pch,oex_sh,b50,.0752139240503311
ARG,2002,pon,pch,oex_sh,m40,.1213107630610466
ARG,2002,pon,pch,oex_sh,t1,.1310255080461502
ARG,2002,pon,pch,oex_sh,t10,.1298632174730301
ARG,2002,pon,pch,oex_sh,tot,.1204784065485001
ARG,2002,pon,pch,wmbe_sh,b50,.4793603420257568
ARG,2002,pon,pch,wmbe_sh,m40,.7752854824066162
ARG,2002,pon,pch,wmbe_sh,t1,.8623179793357849
ARG,2002,pon,pch,wmbe_sh,t10,.8483136892318726
ARG,2002,pon,pch,wmbe_sh,tot,.7790547609329224
ARG,2003,pon,pch,edu_sh,b50,.150363028049469
ARG,2003,pon,pch,edu_sh,m40,.0360467471182346
ARG,2003,pon,pch,edu_sh,t1,.002726135076955
ARG,2003,pon,pch,edu_sh,t10,.0073116454295814
ARG,2003,pon,pch,edu_sh,tot,.0364432260394096
ARG,2003,pon,pch,hea_sh,b50,.1757471710443497
ARG,2003,pon,pch,hea_sh,m40,.0360476821660995
ARG,2003,pon,pch,hea_sh,t1,.0019654291681945
ARG,2003,pon,pch,hea_sh,t10,.0058395438827574
ARG,2003,pon,pch,hea_sh,tot,.0388984307646751
ARG,2003,pon,pch,mbe_sh,b50,.0370873063802719
ARG,2003,pon,pch,mbe_sh,m40,.0170116648077965
ARG,2003,pon,pch,mbe_sh,t1,.0000790326521383
ARG,2003,pon,pch,mbe_sh,t10,.0037397486157715
ARG,2003,pon,pch,mbe_sh,tot,.0131151061505079
ARG,2003,pon,pch,oex_sh,b50,.0976993516087532
ARG,2003,pon,pch,oex_sh,m40,.1385122090578079
ARG,2003,pon,pch,oex_sh,t1,.1485736966133118
ARG,2003,pon,pch,oex_sh,t10,.147310882806778
ARG,2003,pon,pch,oex_sh,tot,.1376665681600571
ARG,2003,pon,pch,wmbe_sh,b50,.5391030311584473
ARG,2003,pon,pch,wmbe_sh,m40,.7723817825317383
ARG,2003,pon,pch,wmbe_sh,t1,.8466557264328003
ARG,2003,pon,pch,wmbe_sh,t10,.8357981443405151
ARG,2003,pon,pch,wmbe_sh,tot,.7738767266273499
ARG,2004,pon,pch,edu_sh,b50,.1506028175354004
ARG,2004,pon,pch,edu_sh,m40,.0360572226345539
ARG,2004,pon,pch,edu_sh,t1,.0023705596104264
ARG,2004,pon,pch,edu_sh,t10,.0075423698872328
ARG,2004,pon,pch,edu_sh,tot,.0370600894093513
ARG,2004,pon,pch,hea_sh,b50,.1773515641689301
ARG,2004,pon,pch,hea_sh,m40,.0361247807741165
ARG,2004,pon,pch,hea_sh,t1,.0016761210281402
ARG,2004,pon,pch,hea_sh,t10,.0061455019749701
ARG,2004,pon,pch,hea_sh,tot,.0398154109716415
ARG,2004,pon,pch,mbe_sh,b50,.0437458120286465
ARG,2004,pon,pch,mbe_sh,m40,.0211165454238653
ARG,2004,pon,pch,mbe_sh,t1,.0054233288392425
ARG,2004,pon,pch,mbe_sh,t10,.0079739801585674
ARG,2004,pon,pch,mbe_sh,tot,.0177552737295628
ARG,2004,pon,pch,oex_sh,b50,.1121017262339592
ARG,2004,pon,pch,oex_sh,m40,.1598170399665833
ARG,2004,pon,pch,oex_sh,t1,.1715533882379532
ARG,2004,pon,pch,oex_sh,t10,.1698927134275436
ARG,2004,pon,pch,oex_sh,tot,.1585448831319809
ARG,2004,pon,pch,wmbe_sh,b50,.516198456287384
ARG,2004,pon,pch,wmbe_sh,m40,.7468843460083008
ARG,2004,pon,pch,wmbe_sh,t1,.8189766407012939
ARG,2004,pon,pch,wmbe_sh,t10,.8084455132484436
ARG,2004,pon,pch,wmbe_sh,tot,.7468243837356567
ARG,2005,pon,pch,edu_sh,b50,.1478670537471771
ARG,2005,pon,pch,edu_sh,m40,.0371559709310532
ARG,2005,pon,pch,edu_sh,t1,.003072036895901
ARG,2005,pon,pch,edu_sh,t10,.0087332287803292
ARG,2005,pon,pch,edu_sh,tot,.0398861430585384
ARG,2005,pon,pch,hea_sh,b50,.1642272472381592
ARG,2005,pon,pch,hea_sh,m40,.0351501777768135
ARG,2005,pon,pch,hea_sh,t1,.0021674942690879
ARG,2005,pon,pch,hea_sh,t10,.0067425696179271
ARG,2005,pon,pch,hea_sh,tot,.0404380187392235
ARG,2005,pon,pch,mbe_sh,b50,.0435745567083359
ARG,2005,pon,pch,mbe_sh,m40,.0159594863653183
ARG,2005,pon,pch,mbe_sh,t1,.0026988938916475
ARG,2005,pon,pch,mbe_sh,t10,.0044468780979514
ARG,2005,pon,pch,mbe_sh,tot,.0146724162623286
ARG,2005,pon,pch,oex_sh,b50,.1154531612992287
ARG,2005,pon,pch,oex_sh,m40,.1589368879795074
ARG,2005,pon,pch,oex_sh,t1,.1704270392656326
ARG,2005,pon,pch,oex_sh,t10,.1686749458312988
ARG,2005,pon,pch,oex_sh,tot,.1572302877902985
ARG,2005,pon,pch,wmbe_sh,b50,.5288780927658081
ARG,2005,pon,pch,wmbe_sh,m40,.7527976632118225
