country,year,step,unit,variable,group,value
ARG,2000,pon,esn,edu_sh,b50,.1308714002370834
ARG,2000,pon,esn,edu_sh,m40,.0274607297033072
ARG,2000,pon,esn,edu_sh,t1,.0021977764554322
ARG,2000,pon,esn,edu_sh,t10,.0061587509699166
ARG,2000,pon,esn,edu_sh,tot,.0295187868177891
ARG,2000,pon,esn,hea_sh,b50,.1391445696353912
ARG,2000,pon,esn,hea_sh,m40,.0220768302679062
ARG,2000,pon,esn,hea_sh,t1,.001162379514426
ARG,2000,pon,esn,hea_sh,t10,.0035870065912604
ARG,2000,pon,esn,hea_sh,tot,.0270764343440533
ARG,2000,pon,esn,mbe_sh,b50,.0547736287117004
ARG,2000,pon,esn,mbe_sh,m40,.0145840561017394
ARG,2000,pon,esn,mbe_sh,t1,.0093873841688037
ARG,2000,pon,esn,mbe_sh,t10,.0107249617576599
ARG,2000,pon,esn,mbe_sh,tot,.0174814332276583
ARG,2000,pon,esn,oex_sh,b50,.0348927676677704
ARG,2000,pon,esn,oex_sh,m40,.0494063310325146
ARG,2000,pon,esn,oex_sh,t1,.0518066920340061
ARG,2000,pon,esn,oex_sh,t10,.051474753767252
ARG,2000,pon,esn,oex_sh,tot,.0486802570521832
ARG,2000,pon,esn,wmbe_sh,b50,.6403172612190247
ARG,2000,pon,esn,wmbe_sh,m40,.8864721655845642
ARG,2000,pon,esn,wmbe_sh,t1,.9354459047317505
ARG,2000,pon,esn,wmbe_sh,t10,.9280545115470886
ARG,2000,pon,esn,wmbe_sh,tot,.8772431015968323
ARG,2001,pon,esn,edu_sh,b50,.1516993790864944
ARG,2001,pon,esn,edu_sh,m40,.0284201875329018
ARG,2001,pon,esn,edu_sh,t1,.0024123853072524
ARG,2001,pon,esn,edu_sh,t10,.0063739870674908
ARG,2001,pon,esn,edu_sh,tot,.0310244262218475
ARG,2001,pon,esn,hea_sh,b50,.1563760042190552
ARG,2001,pon,esn,hea_sh,m40,.0221082419157028
ARG,2001,pon,esn,hea_sh,t1,.0012642082292587
ARG,2001,pon,esn,hea_sh,t10,.0036162317264825
ARG,2001,pon,esn,hea_sh,tot,.0275923479348421
ARG,2001,pon,esn,mbe_sh,b50,.0640692040324211
ARG,2001,pon,esn,mbe_sh,m40,.0194682292640209
ARG,2001,pon,esn,mbe_sh,t1,.0098633393645287
ARG,2001,pon,esn,mbe_sh,t10,.0109680108726025
ARG,2001,pon,esn,mbe_sh,tot,.0201589595526457
ARG,2001,pon,esn,oex_sh,b50,.0323555171489716
ARG,2001,pon,esn,oex_sh,m40,.049293790012598
ARG,2001,pon,esn,oex_sh,t1,.0517261996865273
ARG,2001,pon,esn,oex_sh,t10,.0513984076678753
ARG,2001,pon,esn,oex_sh,tot,.0484924800693989
ARG,2001,pon,esn,wmbe_sh,b50,.5954994559288025
ARG,2001,pon,esn,wmbe_sh,m40,.8807095885276794
ARG,2001,pon,esn,wmbe_sh,t1,.9347338676452637
ARG,2001,pon,esn,wmbe_sh,t10,.9276432991027832
ARG,2001,pon,esn,wmbe_sh,tot,.8727317452430725
ARG,2002,pon,esn,edu_sh,b50,.1343909204006195
ARG,2002,pon,esn,edu_sh,m40,.02504663169384
ARG,2002,pon,esn,edu_sh,t1,.0018932370003313
ARG,2002,pon,esn,edu_sh,t10,.0052627800032496
ARG,2002,pon,esn,edu_sh,tot,.0264916978776455
ARG,2002,pon,esn,hea_sh,b50,.1463881283998489
ARG,2002,pon,esn,hea_sh,m40,.0208811052143574
ARG,2002,pon,esn,hea_sh,t1,.0011328440159559
ARG,2002,pon,esn,hea_sh,t10,.0031084145884961
ARG,2002,pon,esn,hea_sh,tot,.0249899923801422
ARG,2002,pon,esn,mbe_sh,b50,.0780863091349602
ARG,2002,pon,esn,mbe_sh,m40,.0187297388911247
ARG,2002,pon,esn,mbe_sh,t1,.0125619815662503
ARG,2002,pon,esn,mbe_sh,t10,.0090129673480988
ARG,2002,pon,esn,mbe_sh,tot,.0200219042599201
ARG,2002,pon,esn,oex_sh,b50,.0301880203187466
ARG,2002,pon,esn,oex_sh,m40,.0443619675934315
ARG,2002,pon,esn,oex_sh,t1,.0463567897677422
ARG,2002,pon,esn,oex_sh,t10,.0461082570254803
ARG,2002,pon,esn,oex_sh,tot,.0437684431672096
ARG,2002,pon,esn,wmbe_sh,b50,.6109474897384644
ARG,2002,pon,esn,wmbe_sh,m40,.8909803628921509
ARG,2002,pon,esn,wmbe_sh,t1,.938055157661438
ARG,2002,pon,esn,wmbe_sh,t10,.9365077018737793
ARG,2002,pon,esn,wmbe_sh,tot,.8847280144691467
ARG,2003,pon,esn,edu_sh,b50,.1018565744161606
ARG,2003,pon,esn,edu_sh,m40,.0226622857153416
ARG,2003,pon,esn,edu_sh,t1,.0015785961877555
ARG,2003,pon,esn,edu_sh,t10,.0051959310658276
ARG,2003,pon,esn,edu_sh,tot,.0244456697255373
ARG,2003,pon,esn,hea_sh,b50,.116470031440258
ARG,2003,pon,esn,hea_sh,m40,.020021565258503
ARG,2003,pon,esn,hea_sh,t1,.0008586263866164
ARG,2003,pon,esn,hea_sh,t10,.0032284292392433
ARG,2003,pon,esn,hea_sh,tot,.0242716874927282
ARG,2003,pon,esn,mbe_sh,b50,.0445123836398125
ARG,2003,pon,esn,mbe_sh,m40,.0155382314696908
ARG,2003,pon,esn,mbe_sh,t1,.0003909838560503
ARG,2003,pon,esn,mbe_sh,t10,.004238358233124
ARG,2003,pon,esn,mbe_sh,tot,.0139125352725387
ARG,2003,pon,esn,oex_sh,b50,.035186804831028
ARG,2003,pon,esn,oex_sh,m40,.0458302684128284
ARG,2003,pon,esn,oex_sh,t1,.0477570258080959
ARG,2003,pon,esn,oex_sh,t10,.047470398247242
ARG,2003,pon,esn,oex_sh,tot,.0452623888850212
ARG,2003,pon,esn,wmbe_sh,b50,.7019736766815186
ARG,2003,pon,esn,wmbe_sh,m40,.8959477543830872
ARG,2003,pon,esn,wmbe_sh,t1,.9494147896766663
ARG,2003,pon,esn,wmbe_sh,t10,.939866840839386
ARG,2003,pon,esn,wmbe_sh,tot,.8921076655387878
ARG,2004,pon,esn,edu_sh,b50,.0982834920287132
ARG,2004,pon,esn,edu_sh,m40,.0227293726056814
ARG,2004,pon,esn,edu_sh,t1,.0018340550595894
ARG,2004,pon,esn,edu_sh,t10,.0055122561752796
ARG,2004,pon,esn,edu_sh,tot,.0250342283397913
ARG,2004,pon,esn,hea_sh,b50,.1098409369587898
ARG,2004,pon,esn,hea_sh,m40,.0195073187351227
ARG,2004,pon,esn,hea_sh,t1,.0010126718552783
ARG,2004,pon,esn,hea_sh,t10,.0034105537924916
ARG,2004,pon,esn,hea_sh,tot,.0242743901908398
ARG,2004,pon,esn,mbe_sh,b50,.0550997741520405
ARG,2004,pon,esn,mbe_sh,m40,.0156512092798948
ARG,2004,pon,esn,mbe_sh,t1,.0082729952409863
