country,year,denom_concept,has_numerator,has_population,has_denominator,has_all
ARG,1990,lower,FALSE,TRUE,FALSE,FALSE
ARG,1990,middle,FALSE,TRUE,FALSE,FALSE
ARG,1990,upper,FALSE,TRUE,FALSE,FALSE
ARG,1991,lower,FALSE,TRUE,FALSE,FALSE
ARG,1991,middle,FALSE,TRUE,FALSE,FALSE
ARG,1991,upper,FALSE,TRUE,FALSE,FALSE
ARG,1992,lower,FALSE,TRUE,FALSE,FALSE
ARG,1992,middle,FALSE,TRUE,FALSE,FALSE
ARG,1992,upper,FALSE,TRUE,FALSE,FALSE
ARG,1993,lower,FALSE,TRUE,FALSE,FALSE
ARG,1993,middle,FALSE,TRUE,FALSE,FALSE
ARG,1993,upper,FALSE,TRUE,FALSE,FALSE
ARG,1994,lower,FALSE,TRUE,FALSE,FALSE
ARG,1994,middle,FALSE,TRUE,FALSE,FALSE
ARG,1994,upper,FALSE,TRUE,FALSE,FALSE
ARG,1995,lower,FALSE,TRUE,FALSE,FALSE
ARG,1995,middle,FALSE,TRUE,FALSE,FALSE
ARG,1995,upper,FALSE,TRUE,FALSE,FALSE
ARG,1996,lower,TRUE,TRUE,FALSE,FALSE
ARG,1996,middle,TRUE,TRUE,FALSE,FALSE
ARG,1996,upper,TRUE,TRUE,FALSE,FALSE
ARG,1997,lower,TRUE,TRUE,FALSE,FALSE
ARG,1997,middle,TRUE,TRUE,FALSE,FALSE
ARG,1997,upper,TRUE,TRUE,FALSE,FALSE
ARG,1998,lower,TRUE,TRUE,FALSE,FALSE
ARG,1998,middle,TRUE,TRUE,FALSE,FALSE
ARG,1998,upper,TRUE,TRUE,FALSE,FALSE
ARG,1999,lower,TRUE,TRUE,FALSE,FALSE
ARG,1999,middle,TRUE,TRUE,FALSE,FALSE
ARG,1999,upper,TRUE,TRUE,FALSE,FALSE
ARG,2000,lower,TRUE,TRUE,TRUE,TRUE
ARG,2000,middle,TRUE,TRUE,FALSE,FALSE
ARG,2000,upper,TRUE,TRUE,TRUE,TRUE
ARG,2001,lower,TRUE,TRUE,TRUE,TRUE
