country,year,denom_concept,has_numerator,has_population,has_denominator,has_all
ARG,2000,lower,TRUE,TRUE,TRUE,TRUE
ARG,2001,lower,TRUE,TRUE,TRUE,TRUE
ARG,2002,lower,TRUE,TRUE,TRUE,TRUE
ARG,2003,lower,TRUE,TRUE,TRUE,TRUE
ARG,2004,lower,TRUE,TRUE,TRUE,TRUE
ARG,2005,lower,TRUE,TRUE,TRUE,TRUE
ARG,2006,lower,TRUE,TRUE,TRUE,TRUE
ARG,2007,lower,TRUE,TRUE,TRUE,TRUE
ARG,2008,lower,TRUE,TRUE,TRUE,TRUE
ARG,2009,lower,TRUE,TRUE,TRUE,TRUE
ARG,2010,lower,TRUE,TRUE,TRUE,TRUE
ARG,2011,lower,TRUE,TRUE,TRUE,TRUE
ARG,2012,lower,TRUE,TRUE,TRUE,TRUE
ARG,2013,lower,TRUE,TRUE,TRUE,TRUE
ARG,2014,lower,TRUE,TRUE,TRUE,TRUE
ARG,2016,lower,TRUE,TRUE,TRUE,TRUE
ARG,2017,lower,TRUE,TRUE,TRUE,TRUE
ARG,2018,lower,TRUE,TRUE,TRUE,TRUE
ARG,2019,lower,TRUE,TRUE,TRUE,TRUE
BRA,2000,upper,TRUE,TRUE,TRUE,TRUE
BRA,2002,lower,TRUE,TRUE,TRUE,TRUE
BRA,2002,upper,TRUE,TRUE,TRUE,TRUE
BRA,2006,lower,TRUE,TRUE,TRUE,TRUE
BRA,2006,upper,TRUE,TRUE,TRUE,TRUE
BRA,2007,lower,TRUE,TRUE,TRUE,TRUE
BRA,2007,upper,TRUE,TRUE,TRUE,TRUE
BRA,2008,lower,TRUE,TRUE,TRUE,TRUE
BRA,2008,upper,TRUE,TRUE,TRUE,TRUE
BRA,2009,lower,TRUE,TRUE,TRUE,TRUE
BRA,2009,upper,TRUE,TRUE,TRUE,TRUE
BRA,2010,middle,TRUE,TRUE,TRUE,TRUE
BRA,2010,upper,TRUE,TRUE,TRUE,TRUE
BRA,2011,lower,TRUE,TRUE,TRUE,TRUE
BRA,2011,middle,TRUE,TRUE,TRUE,TRUE
BRA,2011,upper,TRUE,TRUE,TRUE,TRUE
BRA,2012,lower,TRUE,TRUE,TRUE,TRUE
BRA,2012,middle,TRUE,TRUE,TRUE,TRUE
BRA,2012,upper,TRUE,TRUE,TRUE,TRUE
BRA,2013,lower,TRUE,TRUE,TRUE,TRUE
BRA,2013,middle,TRUE,TRUE,TRUE,TRUE
BRA,2013,upper,TRUE,TRUE,TRUE,TRUE
BRA,2014,lower,TRUE,TRUE,TRUE,TRUE
BRA,2014,middle,TRUE,TRUE,TRUE,TRUE
BRA,2014,upper,TRUE,TRUE,TRUE,TRUE
BRA,2015,lower,TRUE,TRUE,TRUE,TRUE
BRA,2015,middle,TRUE,TRUE,TRUE,TRUE
BRA,2015,upper,TRUE,TRUE,TRUE,TRUE
BRA,2016,lower,TRUE,TRUE,TRUE,TRUE
BRA,2016,middle,TRUE,TRUE,TRUE,TRUE
BRA,2016,upper,TRUE,TRUE,TRUE,TRUE
BRA,2017,lower,TRUE,TRUE,TRUE,TRUE
BRA,2017,middle,TRUE,TRUE,TRUE,TRUE
BRA,2017,upper,TRUE,TRUE,TRUE,TRUE
BRA,2018,lower,TRUE,TRUE,TRUE,TRUE
BRA,2018,middle,TRUE,TRUE,TRUE,TRUE
BRA,2018,upper,TRUE,TRUE,TRUE,TRUE
BRA,2019,lower,TRUE,TRUE,TRUE,TRUE
BRA,2019,middle,TRUE,TRUE,TRUE,TRUE
BRA,2019,upper,TRUE,TRUE,TRUE,TRUE
BRA,2020,lower,TRUE,TRUE,TRUE,TRUE
BRA,2020,middle,TRUE,TRUE,TRUE,TRUE
BRA,2020,upper,TRUE,TRUE,TRUE,TRUE
BRA,2021,lower,TRUE,TRUE,TRUE,TRUE
BRA,2021,middle,TRUE,TRUE,TRUE,TRUE
BRA,2021,upper,TRUE,TRUE,TRUE,TRUE
CHL,2005,middle,TRUE,TRUE,TRUE,TRUE
CHL,2005,upper,TRUE,TRUE,TRUE,TRUE
CHL,2006,lower,TRUE,TRUE,TRUE,TRUE
CHL,2006,middle,TRUE,TRUE,TRUE,TRUE
CHL,2006,upper,TRUE,TRUE,TRUE,TRUE
CHL,2007,middle,TRUE,TRUE,TRUE,TRUE
CHL,2007,upper,TRUE,TRUE,TRUE,TRUE
