"","country","year","adpop_bfm","average_income_bfm","bfm_totinc"
"1","ARG",2000,23834040,5654.02734375,134758313872.031
"2","ARG",2001,24116618,5286.58447265625,127494538251.782
"3","ARG",2002,24462036,4628.91650390625,113232722159.549
"4","ARG",2003,25006992,6385.10498046875,159672269165.742
"5","ARG",2004,25477896,7472.232421875,190376760532.359
"6","ARG",2005,25789574,9664.328125,249238905339.969
"7","ARG",2006,26055716,11609.763671875,302500705061.492
"8","ARG",2007,26444016,15502.93359375,409959824000.062
"9","ARG",2008,26799932,20916.9609375,560573130771.656
"10","ARG",2009,27211392,25256.22265625,687256975138.5
"11","ARG",2010,27782368,31416.28125,872818686879
"12","ARG",2011,28119276,42135.890625,1184830737990.19
"13","ARG",2012,28535948,53295.22265625,1520829702367.17
"14","ARG",2013,28652708,67467.4921875,1933126353140.72
"15","ARG",2014,28536038,92078.375,2627552007978.25
"16","ARG",2016,30540776,118318.046875,3613524966366.88
"17","ARG",2017,30946430,153176.9375,4740279373958.12
"18","ARG",2018,31115888,171514.84375,5336836668462.5
"19","ARG",2019,31596580,253986.359375,8025100322900.94
"20","ARG",2020,30877372,302190.5,9330848483366
"21","ARG",2021,31230488,494174.75,15433318599778
"22","BRA",2001,105642800,7375.642578125,779183533752.344
"23","BRA",2002,108708480,7983.52587890625,867876963336.562
"24","BRA",2003,111544528,8511.548828125,949416696582.156
"25","BRA",2004,115715864,9080.228515625,1050726488002.98
"26","BRA",2005,118502464,10930.775390625,1295323817219.62
"27","BRA",2006,121384488,11933.5625,1448549374078.5
"28","BRA",2007,124251984,11883.5478515625,1476554397515.58
"29","BRA",2008,127284368,13262.9892578125,1688171205471.45
"30","BRA",2009,129831984,14212.3896484375,1845222745437.7
"31","BRA",2011,134467440,17337.8984375,2331382817870.62
"32","BRA",2012,136715600,20176.564453125,2758451115147.66
"33","BRA",2013,139003552,21304.091796875,2961344431899.69
"34","BRA",2014,141697952,23502.435546875,3330246984004.19
"35","BRA",2015,144233536,24020.51953125,3464564468549.25
"36","BRA",2016,142556768,25477.703125,3632019013563.5
"37","BRA",2017,144768032,26555.552734375,3844395108027.69
"38","BRA",2018,147077456,28659.369140625,4215147103768.03
"39","BRA",2019,149168608,29011.4296875,4327594582574.25
"40","BRA",2020,151226784,28455.677734375,4303260630309.94
"41","BRA",2021,153216432,29803.16796875,4566335058468.56
"42","CHL",2000,9634323,2741444.5,26411961799573.5
"43","CHL",2003,10232280,2764900.75,28291238646210
"44","CHL",2006,11055788,3345517,36987326702396
"45","CHL",2009,11701511,4064977.25,47566376005624.8
"46","CHL",2011,12162909,4769882,58015640706738
"47","CHL",2013,12603915,5688574,71698303167210
"48","CHL",2015,13030470,6539022,85206530000340
"49","CHL",2017,13570819,7093730.5,96267732650279.5
"50","CHL",2020,14556693,6788638,98820119254134
"51","COL",2002,23652684,5033884.5,119064879370998
"52","COL",2003,24098036,5786039,139432176119404
"53","COL",2004,24493828,6339648,155282247692544
"54","COL",2005,24911920,7004608.5,174498246583320
"55","COL",2008,26149042,9173224,239871019651408
"56","COL",2009,26653344,9717187,258995527823328
"57","COL",2010,26924484,10200383,274640048877372
"58","COL",2011,27478068,11123163,305643029289084
"59","COL",2012,27992268,11394080,318946140973440
"60","COL",2013,28533752,11662767,332782501211784
"61","COL",2014,29073078,12002387,348946333437186
"62","COL",2015,29609000,12942637,383218538933000
"63","COL",2016,30202294,13537490,408863253002060
"64","COL",2017,30852616,15819376,488069133087616
"65","COL",2018,31626540,16575940,524239629447600
"66","COL",2019,32536336,17665334,574765242576224
"67","COL",2020,33019756,16487542,544414613879752
"68","COL",2021,34064880,17388454,592335598895520
"69","CRI",2010,3012995,3578914.5,10783251493927.5
"70","CRI",2011,3094462,4074702.75,12609012821170.5
"71","CRI",2012,3191842,4353510.5,13895717661341
"72","CRI",2013,3258818,4711725.5,15354655870459
"73","CRI",2014,3337485,5000331,16688529707535
"74","CRI",2015,3345057,4929360,16488990173520
"75","CRI",2016,3406127,5061158.5,17238948618129.5
"76","CRI",2017,3474263,4764290,16552396468270
"77","CRI",2018,3547503,4735300,16798490955900
"78","CRI",2019,3613701,4844785.5,17507606206135.5
"79","CRI",2020,3687974,3950767.25,14570326898051.5
"80","DOM",2012,5904488,131738.6875,777849499479.5
"81","DOM",2013,5988005,150923.046875,903727959302.734
"82","DOM",2014,6252350,155059.5,969486264825
"83","DOM",2015,6365560,167695.03125,1067472783123.75
"84","DOM",2016,6371082,170722.484375,1087686947196.84
"85","DOM",2017,6463720,181298.515625,1171862841415.62
"86","DOM",2018,6573122,203590,1338221907980
"87","DOM",2019,6663431,215540.703125,1436240602964.92
"88","DOM",2020,6794430,181118.484375,1230596863792.03
"89","DOM",2021,6883502,191277.640625,1316660021797.47
"90","ECU",2001,7132366,1696.29077148438,12098566624.6489
"91","ECU",2003,7265145,2106.68432617188,15305367098.866
"92","ECU",2005,7681581,2543.65966796875,19539327775.9351
"93","ECU",2006,7801341,2718.74731445312,21209874892.8831
"94","ECU",2007,7925024,3039.64013671875,24089221034.8594
"95","ECU",2008,8188195,3101.68408203125,25397194092.0679
"96","ECU",2009,8543519,3074.26586914062,26265048864.0544
"97","ECU",2010,8798576,3428.890625,30169354759.75
"98","ECU",2011,9083474,3852.1064453125,34990508741.2285
"99","ECU",2012,9422215,3915.3203125,36890989778.2422
"100","ECU",2013,9618391,4174.54833984375,40152438181.0181
"101","ECU",2014,9571171,4393.77197265625,42053542885.3003
"102","ECU",2015,9850188,4569.93115234375,45014680997.6426
"103","ECU",2016,10077269,4383.22119140625,44170899032.3013
"104","ECU",2017,10286797,4511.76416015625,46411602027.4028
"105","ECU",2018,10531977,4541.12255859375,47826998341.2905
"106","ECU",2019,10680601,4358.17138671875,46547889671.1597
"107","ECU",2020,10881418,3872.64892578125,42139911728.6768
"108","ECU",2021,11013628,4033.08081054688,44418851741.3018
"109","MEX",2002,58655516,65294.3046875,3829871133306.53
"110","MEX",2004,60555728,79202.1796875,4796145650163.38
"111","MEX",2006,63901024,87949.171875,5620042142764.5
"112","MEX",2008,66264848,98806.4765625,6547396150829.62
"113","MEX",2010,69800608,68424.3984375,4776064612971.75
"114","MEX",2012,73599488,82392.5234375,6064047540028
