country,year,p,thr,avg,topavg,in_coverage,denom_total,denom_concept,denom_source,pop,pop_concept,pop_source
URY,2009,0.9,250457.940814293,257932.161003063,502232.399481553,TRUE,NA,upper,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.9,250457.940814293,257932.161003063,502232.399481553,TRUE,359315952280,lower,BFM,2302593,adults,WID
URY,2009,0.9,250457.940814293,257932.161003063,502232.399481553,TRUE,NA,middle,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.99,760307.424324355,777548.161235959,1577080.53565121,TRUE,NA,upper,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.99,760307.424324355,777548.161235959,1577080.53565121,TRUE,359315952280,lower,BFM,2302593,adults,WID
URY,2009,0.99,760307.424324355,777548.161235959,1577080.53565121,TRUE,NA,middle,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.999,2323258.02806725,2379699.90589135,5735197.80633092,TRUE,NA,upper,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.999,2323258.02806725,2379699.90589135,5735197.80633092,TRUE,359315952280,lower,BFM,2302593,adults,WID
URY,2009,0.999,2323258.02806725,2379699.90589135,5735197.80633092,TRUE,NA,middle,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.9999,8084089.17682832,24782808.6059782,24782808.6059782,TRUE,NA,upper,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2009,0.9999,8084089.17682832,24782808.6059782,24782808.6059782,TRUE,359315952280,lower,BFM,2302593,adults,WID
URY,2009,0.9999,8084089.17682832,24782808.6059782,24782808.6059782,TRUE,NA,middle,SNA_CEI + SNA_WID,2302593,adults,WID
URY,2010,0.9,290253.694334981,298340.524787425,574705.201052706,TRUE,NA,upper,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.9,290253.694334981,298340.524787425,574705.201052706,TRUE,402206330450.75,lower,BFM,2317772,adults,WID
URY,2010,0.9,290253.694334981,298340.524787425,574705.201052706,TRUE,NA,middle,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.99,876124.928619264,894189.400569499,1779290.63221961,TRUE,NA,upper,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.99,876124.928619264,894189.400569499,1779290.63221961,TRUE,402206330450.75,lower,BFM,2317772,adults,WID
URY,2010,0.99,876124.928619264,894189.400569499,1779290.63221961,TRUE,NA,middle,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.999,2639613.81544021,2708621.73616912,6302618.11772366,TRUE,NA,upper,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.999,2639613.81544021,2708621.73616912,6302618.11772366,TRUE,402206330450.75,lower,BFM,2317772,adults,WID
URY,2010,0.999,2639613.81544021,2708621.73616912,6302618.11772366,TRUE,NA,middle,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.9999,8513206.18361466,26358575.8600493,26358575.8600493,TRUE,NA,upper,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2010,0.9999,8513206.18361466,26358575.8600493,26358575.8600493,TRUE,402206330450.75,lower,BFM,2317772,adults,WID
URY,2010,0.9999,8513206.18361466,26358575.8600493,26358575.8600493,TRUE,NA,middle,SNA_CEI + SNA_WID,2317772,adults,WID
URY,2011,0.9,324562.040118909,333180.468673526,655114.878638559,TRUE,NA,upper,SNA_CEI + SNA_WID,2332876,adults,WID
URY,2011,0.9,324562.040118909,333180.468673526,655114.878638559,TRUE,464790458594.438,lower,BFM,2332876,adults,WID
