country,year,has_numerator,has_population,denom_concept,has_denominator,has_all
ARG,1990,FALSE,TRUE,NA,FALSE,FALSE
ARG,1991,FALSE,TRUE,NA,FALSE,FALSE
ARG,1992,FALSE,TRUE,NA,FALSE,FALSE
ARG,1993,FALSE,TRUE,NA,FALSE,FALSE
ARG,1994,FALSE,TRUE,NA,FALSE,FALSE
ARG,1995,FALSE,TRUE,NA,FALSE,FALSE
ARG,1996,FALSE,TRUE,NA,FALSE,FALSE
ARG,1997,FALSE,TRUE,NA,FALSE,FALSE
ARG,1998,FALSE,TRUE,NA,FALSE,FALSE
ARG,1999,FALSE,TRUE,NA,FALSE,FALSE
ARG,2000,FALSE,TRUE,NA,FALSE,FALSE
ARG,2001,FALSE,TRUE,NA,FALSE,FALSE
ARG,2002,FALSE,TRUE,NA,FALSE,FALSE
ARG,2003,FALSE,TRUE,NA,FALSE,FALSE
ARG,2004,FALSE,TRUE,NA,FALSE,FALSE
ARG,2005,FALSE,TRUE,NA,FALSE,FALSE
ARG,2006,FALSE,TRUE,NA,FALSE,FALSE
ARG,2007,FALSE,TRUE,NA,FALSE,FALSE
ARG,2008,FALSE,TRUE,NA,FALSE,FALSE
ARG,2009,FALSE,TRUE,NA,FALSE,FALSE
ARG,2010,FALSE,TRUE,NA,FALSE,FALSE
ARG,2011,FALSE,TRUE,NA,FALSE,FALSE
ARG,2012,FALSE,TRUE,NA,FALSE,FALSE
ARG,2013,FALSE,TRUE,NA,FALSE,FALSE
ARG,2014,FALSE,TRUE,NA,FALSE,FALSE
ARG,2015,FALSE,TRUE,NA,FALSE,FALSE
ARG,2016,FALSE,TRUE,NA,FALSE,FALSE
ARG,2017,FALSE,TRUE,NA,FALSE,FALSE
ARG,2018,FALSE,TRUE,NA,FALSE,FALSE
ARG,2019,FALSE,TRUE,NA,FALSE,FALSE
ARG,2020,FALSE,TRUE,NA,FALSE,FALSE
ARG,2021,FALSE,TRUE,NA,FALSE,FALSE
ARG,2022,FALSE,TRUE,NA,FALSE,FALSE
ARG,2023,FALSE,TRUE,NA,FALSE,FALSE
ARG,2024,FALSE,TRUE,NA,FALSE,FALSE
BRA,1990,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1991,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1992,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1993,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1994,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1995,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1996,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1997,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1998,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,1999,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,2000,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2001,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,2002,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2003,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,2004,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,2005,FALSE,TRUE,B5g_simple,TRUE,FALSE
BRA,2006,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2007,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2008,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2021,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2022,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2023,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2024,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1990,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1991,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1992,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1993,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1994,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1995,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1996,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1997,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1998,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,1999,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2000,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2001,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2002,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2003,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2004,FALSE,TRUE,B5g_simple,TRUE,FALSE
CHL,2005,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2006,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2007,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2008,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2021,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2022,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2023,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2024,FALSE,TRUE,B5g_simple,TRUE,FALSE
COL,1990,FALSE,TRUE,B5g_simple,TRUE,FALSE
COL,1991,FALSE,TRUE,B5g_simple,TRUE,FALSE
