country,year,has_numerator,has_population,denom_concept,has_denominator,has_all
BRA,2000,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2002,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2006,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2007,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2008,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2021,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2022,TRUE,TRUE,B5g_simple,TRUE,TRUE
BRA,2023,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2005,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2006,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2007,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2008,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2021,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2022,TRUE,TRUE,B5g_simple,TRUE,TRUE
CHL,2023,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2021,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2022,TRUE,TRUE,B5g_simple,TRUE,TRUE
COL,2023,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
CRI,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2019,TRUE,TRUE,B5g_simple,TRUE,TRUE
DOM,2020,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
MEX,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
PER,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
PER,2017,TRUE,TRUE,B5g_simple,TRUE,TRUE
PER,2018,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2009,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2010,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2011,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2012,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2013,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2014,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2015,TRUE,TRUE,B5g_simple,TRUE,TRUE
URY,2016,TRUE,TRUE,B5g_simple,TRUE,TRUE
