"","country","year","p","thr","avg","topavg","minp"
"1","URY","2009",0.9,250457.940814293,257932.161003063,502232.399481553,0.25
"2","URY","2009",0.99,760307.424324355,777548.161235959,1577080.53565121,0.25
"3","URY","2009",0.999,2323258.02806725,2379699.90589135,5735197.80633092,0.25
"4","URY","2009",0.9999,8084089.17682832,24782808.6059782,24782808.6059782,0.25
"5","URY","2010",0.9,290253.694334981,298340.524787425,574705.201052706,0.259999990463257
"6","URY","2010",0.99,876124.928619264,894189.400569499,1779290.63221961,0.259999990463257
"7","URY","2010",0.999,2639613.81544021,2708621.73616912,6302618.11772366,0.259999990463257
"8","URY","2010",0.9999,8513206.18361466,26358575.8600493,26358575.8600493,0.259999990463257
"9","URY","2011",0.9,324562.040118909,333180.468673526,655114.878638559,0.25
"10","URY","2011",0.99,972619.036904499,994645.153458606,2153395.30103316,0.25
"11","URY","2011",0.999,3060562.64875775,3146177.36267537,8475281.2253909,0.25
"12","URY","2011",0.9999,11187959.4728876,41381654.9491976,41381654.9491975,0.25
"13","URY","2012",0.9,378549.049919815,389151.510685138,766253.725886821,0.239999994635582
"14","URY","2012",0.99,1155361.92195352,1180751.39342087,2465764.07645382,0.239999994635582
"15","URY","2012",0.999,3499786.01657806,3595636.36773332,9368967.59933398,0.239999994635582
"16","URY","2012",0.9999,12705471.0754171,44200692.7428059,44200692.7428058,0.239999994635582
"17","URY","2013",0.9,427641.334616225,438620.980535724,856957.979815747,0.219999998807907
"18","URY","2013",0.99,1251470.61760229,1279883.78073814,2837765.27890607,0.219999998807907
"19","URY","2013",0.999,3937537.75530052,4063660.35682413,11649403.8045609,0.219999998807907
"20","URY","2013",0.9999,15197503.1781084,59715174.7296255,59715174.7296255,0.219999998807907
"21","URY","2014",0.9,486139.120430877,497162.117880825,980918.438084268,0.209999993443489
"22","URY","2014",0.99,1439169.52730211,1472635.25949372,3269538.06614753,0.209999993443489
"23","URY","2014",0.999,4759359.28514159,4894280.74034496,12948289.3416198,0.209999993443489
"24","URY","2014",0.9999,19481755.4652458,59081758.8843021,59081758.884302,0.209999993443489
"25","URY","2015",0.9,541230.935084718,552781.115361654,1110074.66901311,0.200000002980232
"26","URY","2015",0.99,1609449.42524889,1648589.10211397,3842606.41160635,0.200000002980232
"27","URY","2015",0.999,5514647.86126788,5693023.50081106,16086100.0020192,0.200000002980232
"28","URY","2015",0.9999,23335209.784781,77061650.1053543,77061650.1053542,0.200000002980232
"29","URY","2016",0.9,606348.803949376,616894.208376489,1281431.47283031,0.209999993443489
"30","URY","2016",0.99,1835608.25954164,1884627.79520271,4653249.57464821,0.209999993443489
"31","URY","2016",0.999,7115240.93428565,7331500.52462306,19802724.7671813,0.209999993443489
"32","URY","2016",0.9999,33517815.8077921,87415688.9816849,87415688.9816849,0.209999993443489
"33","ARG","2000",0.9,0,0,8237.96138680656,0.980001449584961
"34","ARG","2000",0.99,27015.8692703197,28371.9477332679,65612.3806682359,0.980001449584961
"35","ARG","2000",0.999,106030.410345623,108752.013002089,232343.077509914,0.980001449584961
"36","ARG","2000",0.9999,382430.462951478,794573.140518822,794573.140518823,0.980001449584961
"37","ARG","2001",0.9,0,0,5947.04101012554,0.984596729278564
"38","ARG","2001",0.99,20991.2432914735,22080.5562969184,50485.0632513069,0.984596729278564
"39","ARG","2001",0.999,83444.0156175981,85345.7689409212,153288.095440264,0.984596729278564
"40","ARG","2001",0.9999,235114.06065569,450237.466997592,450237.466997592,0.984596729278564
"41","ARG","2002",0.9,0,0,8743.14024274121,0.969907760620117
"42","ARG","2002",0.99,28502.6032220463,29834.2048152871,62293.6365422385,0.969907760620117
"43","ARG","2002",0.999,99299.5395699737,101703.314297511,180558.359589508,0.969907760620117
"44","ARG","2002",0.9999,281462.500483175,529272.158181166,529272.158181166,0.969907760620117
"45","ARG","2003",0.9,0,0,10742.0248962473,0.968931198120117
"46","ARG","2003",0.99,34824.5134727464,36303.2302483657,74991.011656834,0.968931198120117
"47","ARG","2003",0.999,118846.261454441,121674.954935151,215314.618910385,0.968931198120117
"48","ARG","2003",0.9999,326855.960692191,622383.186119568,622383.186119568,0.968931198120117
"49","ARG","2004",0.9,0,0,10777.2969366601,0.969981610774994
"50","ARG","2004",0.99,33522.0529900488,35018.9435715094,77664.3397861526,0.969981610774994
"51","ARG","2004",0.999,128666.810725665,131849.365824167,228506.70871674,0.969981610774994
"52","ARG","2004",0.9999,325440.771957676,618612.03671178,618612.036711781,0.969981610774994
"53","ARG","2005",0.9,0,0,11252.1790909214,0.974585711956024
"54","ARG","2005",0.99,36047.5373011524,37963.9078080231,86629.9347145003,0.974585711956024
"55","ARG","2005",0.999,147228.684981332,151217.279151416,256390.108532729,0.974585711956024
"56","ARG","2005",0.9999,381117.892678584,701235.434804193,701235.434804193,0.974585711956024
"57","ARG","2006",0.9,0,0,13418.8562032691,0.973938584327698
"58","ARG","2006",0.99,43762.2717790827,45921.9831566691,101172.439663536,0.973938584327698
"59","ARG","2006",0.999,169662.588500102,172923.994294479,297651.804696519,0.973938584327698
"60","ARG","2006",0.9999,459355.891523079,915665.059669699,915665.059669699,0.973938584327698
"61","ARG","2007",0.9,0,0,18207.8164065594,0.97450578212738
"62","ARG","2007",0.99,58226.1965423249,61376.1088053773,140002.403155624,0.97450578212738
"63","ARG","2007",0.999,234020.466818648,240244.516657184,434657.348828035,0.97450578212738
"64","ARG","2007",0.9999,650560.673029884,1259513.33595007,1259513.33595007,0.97450578212738
"65","ARG","2008",0.9,0,0,13504.3441500593,0.983392715454102
"66","ARG","2008",0.99,38858.4518340802,42153.6787309505,121508.835237789,0.983392715454102
"67","ARG","2008",0.999,217818.085899064,223331.599224199,403497.702211994,0.983392715454102
"68","ARG","2008",0.9999,662282.649938215,1138247.95212956,1138247.95212956,0.983392715454102
"69","ARG","2009",0.9,0,0,17778.4747162377,0.981597661972046
"70","ARG","2009",0.99,53029.0777676464,57167.2936045086,155585.973662499,0.981597661972046
"71","ARG","2009",0.999,269840.122215921,275844.392905162,479149.877622535,0.981597661972046
"72","ARG","2009",0.9999,724914.629269307,1329394.65049567,1329394.65049567,0.981597661972046
"73","ARG","2010",0.9,0,0,34607.9373913998,0.977713167667389
"74","ARG","2010",0.99,131499.82387907,137983.534721996,270482.714752798,0.977713167667389
"75","ARG","2010",0.999,436238.86986723,445988.136692364,762464.063888556,0.977713167667389
"76","ARG","2010",0.9999,1205422.49174274,2024509.69882592,2024509.69882592,0.977713167667389
"77","ARG","2011",0.9,0,0,23177.9847041066,0.98115086555481
"78","ARG","2011",0.99,73228.0404476702,79024.536289917,199894.886468268,0.98115086555481
"79","ARG","2011",0.999,340491.702309317,348239.944043772,597552.95939879,0.98115086555481
"80","ARG","2011",0.9999,950600.63973346,1607130.30275555,1607130.30275555,0.98115086555481
"81","ARG","2012",0.9,0,0,44939.1520585833,0.975105226039886
"82","ARG","2012",0.99,169743.252980082,175510.138674695,324464.432390869,0.975105226039886
"83","ARG","2012",0.999,516873.68391576,527363.696522871,876387.175608034,0.975105226039886
"84","ARG","2012",0.9999,1369347.72106744,2170070.75720556,2170070.75720556,0.975105226039886
"85","ARG","2013",0.9,0,0,60711.5331110358,NA
"86","ARG","2013",0.99,217541.315571957,223844.979117244,409889.563274539,NA
"87","ARG","2013",0.999,645232.473647002,659331.537956862,1116594.16280229,NA
"88","ARG","2013",0.9999,1680386.17788767,2910447.19325675,2910447.19325675,NA
"89","ARG","2014",0.9,0,0,125716.116263934,NA
"90","ARG","2014",0.99,350104.27313351,359209.14581664,655462.537310506,NA
"91","ARG","2014",0.999,998091.467996858,1020546.61487542,1866950.25359727,NA
"92","ARG","2014",0.9999,2695066.74716928,5443148.97387635,5443148.97387634,NA
"93","ARG","2015",0.9,0,0,154206.30181536,NA
"94","ARG","2015",0.99,449662.004714539,461157.766210977,846007.811430344,NA
"95","ARG","2015",0.999,1313407.95643259,1347053.01309106,2423392.05137824,NA
"96","ARG","2015",0.9999,3439222.90143422,7223641.63834339,7223641.63834339,NA
"97","ARG","2016",0.9,0,0,206468.4959301,NA
"98","ARG","2016",0.99,626414.897992769,642983.034649237,1212471.62279426,NA
"99","ARG","2016",0.999,1921468.50832341,1973853.42684155,3782402.8720549,NA
"100","ARG","2016",0.9999,4780492.68514578,14893727.5592448,14893727.5592448,NA
"101","ARG","2017",0.9,0,0,250853.552953105,NA
"102","ARG","2017",0.99,836753.617654998,859427.731223387,1659183.09611167,NA
"103","ARG","2017",0.999,2420408.50709025,2449633.96825744,5400962.64936932,NA
"104","ARG","2017",0.9999,7182542.59252881,23717945.0074226,23717945.0074226,NA
"105","ARG","2018",0.9,0,0,308449.574801952,NA
"106","ARG","2018",0.99,961431.589366486,1013772.19511476,2161241.42780897,NA
"107","ARG","2018",0.999,5037579.2312814,5182260.15937654,6960311.40183469,NA
"108","ARG","2018",0.9999,9004817.85705611,9644123.32685177,9644123.32685177,NA
"109","ARG","2019",0.9,0,0,476959.422488892,0.970161974430084
"110","ARG","2019",0.99,1395166.04130113,1457420.20869232,3535886.22144458,0.970161974430084
"111","ARG","2019",0.999,5185309.14886075,5341776.10232941,14371971.4575504,0.970161974430084
"112","ARG","2019",0.9999,19027110.6222541,66970756.7844066,66970756.7844066,0.970161974430084
"113","BRA","2000",0.9,10694.4422017127,11601.7575649352,39624.2768910302,NA
"114","BRA","2000",0.99,67085.937434172,69505.1611118766,178753.841293275,NA
"115","BRA","2000",0.999,192400.568998,198142.853580624,842465.82889416,NA
"116","BRA","2000",0.9999,998180.378807143,5480078.76881517,5480078.76881517,NA
"117","BRA","2002",0.9,13472.2,13822.7300000004,44305.376499992,NA
"118","BRA","2002",0.99,81610.8900000001,83606.6299999987,190335.90499992,NA
"119","BRA","2002",0.999,269244,280913.500000003,793626.639999199,NA
"120","BRA","2002",0.9999,1071471,4057719.09999247,4057719.09999247,NA
"121","BRA","2006",0.9,19628.3957457111,20310.699486457,66023.9851790835,NA
